Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,CityState,Country,Postal Code,ZIP,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
1007745,3307 7th Ave SE - Aberdeen,Starbucks,22639-218204,(605) 225-0226,CO,"3307 7th Avenue SE, 114",3307 7th Avenue SE,114,,Aberdeen,SD,AberdeenSD,US,57401,57401,"(45.4587211608887, -98.4422073364258)",45.45872116,-98.44220734,Central Standard Time,-300,GMT-06:00 America/Chicago,10/3/2014 4:00
7884,1202 Wishkah St- Aberdeen,Starbucks,9504-94491,360-532-0349,CO,1202 E. Wishkah St.,1202 E. Wishkah St.,,,Aberdeen,WA,AberdeenWA,US,985204225,98520,"(46.9775848388672, -123.802879333496)",46.97758484,-123.8028793,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
8124,Safeway - Aberdeen #1546,Starbucks,74905-100333,360-533-1955,LS,221 W Heron St,221 W Heron St,,,Aberdeen,WA,AberdeenWA,US,985206224,98520,"(46.9725341796875, -123.818519592285)",46.97253418,-123.8185196,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
10653,Target Aberdeen T-848,Starbucks,76629-99082,605-226-0223,LS,3316 SE 6th Ave,3316 SE 6th Ave,,,Aberdeen,SD,AberdeenSD,US,574015517,57401,"(45.4589767456055, -98.4422302246094)",45.45897675,-98.44223022,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
17907,"Aberdeen, NC",Starbucks,10387-100533,910-692-2351,CO,"110 Columbus Drive, Aberdeen Commons",110 Columbus Drive,,Aberdeen Commons,Aberdeen,NC,AberdeenNC,US,283152387,28315,"(35.1571006774902, -79.4132995605469)",35.15710068,-79.41329956,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
1007538,Aramark @ Abilene Christian Univers,Starbucks,22171-200104,325-674-2316,LS,760 Library Court,760 Library Court,,,Abilene,TX,AbileneTX,US,79699,79699,"(32.3868179321289, -99.7033386230469)",32.38681793,-99.70333862,Central Standard Time,-300,GMT-06:00 America/Chicago,8/22/2014 4:00
1012104,Market Street #679 - Abilene,Starbucks,26805-245287,(325) 695-5300,LS,4450 Buffalo Gap Road,4450 Buffalo Gap Road,,,Abilene,TX,AbileneTX,US,79606,79606,"(32.3965377807617, -99.7612686157227)",32.39653778,-99.76126862,Central Standard Time,-300,GMT-06:00 America/Chicago,6/30/2015 4:00
6731,14th & Barrow,Starbucks,13699-107990,325-692-4765,CO,1389 Barrow,1389 Barrow,,,Abilene,TX,AbileneTX,US,796055171,79605,"(32.4324836730957, -99.7593383789063)",32.43248367,-99.75933838,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
17693,Buffalo Gap & Hwy. 83,Starbucks,6637-69140,325-793-2197,CO,4150 Buffalo Gap Road,4150 Buffalo Gap Road,,,Abilene,TX,AbileneTX,US,796057232,79605,"(32.4028205871582, -99.757942199707)",32.40282059,-99.7579422,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
9123,Target Abingdon T-1871,Starbucks,76135-88984,410-670-9000,LS,403 Constant Friendship Blvd,403 Constant Friendship Blvd,,,Abingdon,MD,AbingdonMD,US,210092566,21009,"(39.4638595581055, -76.3162078857422)",39.46385956,-76.31620789,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
10873,412 Constant Friendship Blvd,Starbucks,14363-116924,410 569-9680,CO,"412-B Constant Friendship Blvd., Constant Friendhip",412-B Constant Friendship Blvd.,,Constant Friendhip,Abingdon,MD,AbingdonMD,US,210092566,21009,"(39.4585037231445, -76.317985534668)",39.45850372,-76.31798553,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
1005982,Target Abington T-1256,Starbucks,21113-209293,215-572-6977,LS,1495 Old York Rd,1495 Old York Rd,,,Abington,PA,AbingtonPA,US,19001,19001,"(40.1253814697266, -75.1172561645508)",40.12538147,-75.11725616,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
10137,Target Abington T-2173,Starbucks,76680-97544,781-347-9003,LS,375 Centre Ave,375 Centre Ave,,,Abington,MA,AbingtonMA,US,23512209,02351,"(42.1107902526855, -70.930549621582)",42.11079025,-70.93054962,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
13780,Galloway,Starbucks,8838-94558,609-748-4962,CO,"405 S. Pitney Road, Galloway Village Square Shopping Center",405 S. Pitney Road,,Galloway Village Square Shopping Center,Absecon,NJ,AbseconNJ,US,82059710,08205,"(39.4632606506348, -74.4944763183594)",39.46326065,-74.49447632,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
13844,Manokeek,Starbucks,2829-91070,301-283-3724,CO,"7045 Berry Road, A1",7045 Berry Road,A1,,Accokeek,MD,AccokeekMD,US,206073439,20607,"(38.6597366333008, -77.0161514282227)",38.65973663,-77.01615143,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
15302,"Acton, Kelly's Corner",Starbucks,7835-68480,978-264-1992,CO,411 Massachusettes Ave,411 Massachusettes Ave,,,Acton,MA,ActonMA,US,17203739,01720,"(42.474910736084, -71.4516067504883)",42.47491074,-71.45160675,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
10014,Super Target Acworth ST-2091,Starbucks,76600-101462,678-202-0996,LS,3352 Cobb Pkwy,3352 Cobb Pkwy,,,Acworth,GA,AcworthGA,US,301018304,30101,"(34.0398101806641, -84.6839599609375)",34.03981018,-84.68395996,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
17280,Hwy 41 & Mars Hill Rd,Starbucks,11045-98613,770-966-9262,CO,3622 Cobb Parkway,3622 Cobb Parkway,,,Acworth,GA,AcworthGA,US,301014018,30101,"(34.0432052612305, -84.6953735351563)",34.04320526,-84.69537354,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
9179,Quorum,Starbucks,6230-844,(972) 866-6789,CO,"5000 Beltline Rd, Suite 450, Addison Walk",5000 Beltline Rd,Suite 450,Addison Walk,Addison,TX,AddisonTX,US,75240,75240,"(32.9538650512695, -96.8259353637695)",32.95386505,-96.82593536,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
7984,Midway & Beltline,Starbucks,9443-95236,(972) 385-8416,CO,15099 Midway Road,15099 Midway Road,,,Addison,TX,AddisonTX,US,750014910,75001,"(32.9539451599121, -96.8392715454102)",32.95394516,-96.83927155,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
13728,Tom Thumb-Addison #2643,Starbucks,74629-90307,972-241-4485,LS,14280 Marsh Lane,14280 Marsh Lane,,,Addison,TX,AddisonTX,US,750013857,75001,"(32.9389343261719, -96.8543319702148)",32.93893433,-96.85433197,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
13953,Lake & Rohlwing,Starbucks,2726-85202,630/773-4743,CO,"1590 W. Lake St., Suite 101",1590 W. Lake St.,Suite 101,,Addison,IL,AddisonIL,US,601011824,60101,"(41.9478721618652, -88.0253753662109)",41.94787216,-88.02537537,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
7272,Palmdale & Hwy 395,Starbucks,10429-100710,760-530-9252,CO,14136 US Hwy 395,14136 US Hwy 395,,,Adelanto,CA,AdelantoCA,US,923016700,92301,"(34.5068664550781, -117.399711608887)",34.50686646,-117.3997116,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
6604,Adrian - Hwy 23 & Division,Starbucks,14733-121906,517-263-3565,CO,1515 E. US 223,1515 E. US 223,,,Adrian,MI,AdrianMI,US,492214456,49221,"(41.8744697570801, -84.0326156616211)",41.87446976,-84.03261566,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
1009464,Gravois and Rock Hill-Affton,Starbucks,23826-232925,3144132962,CO,10015 Gravois Road,10015 Gravois Road,,,Affton,MO,AfftonMO,US,63123,63123,"(38.5511131286621, -90.3336944580078)",38.55111313,-90.33369446,Central Standard Time,-300,GMT-06:00 America/Chicago,9/1/2015 4:00
15266,Kanan & Thousand Oaks,Starbucks,635-352,(818) 735-0268,CO,5827 Kanan Road,5827 Kanan Road,,,Agoura,CA,AgouraCA,US,913011651,91301,"(34.1558647155762, -118.756561279297)",34.15586472,-118.7565613,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
9402,Vons-Agoura Hills #2001,Starbucks,74510-27669,818-991-2857,LS,5671 Kanan Rd.,5671 Kanan Rd.,,,Agoura Hills,CA,Agoura HillsCA,US,913013358,91301,"(34.1533393859863, -118.758628845215)",34.15333939,-118.7586288,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
7397,Waimalu Shopping Center,Starbucks,21063-101700,808-484-5802,CO,"98-1277 Kaahumanu Street, Building E, Unit 7",98-1277 Kaahumanu Street,"Building E, Unit 7",,Aiea,HI,AieaHI,US,967015314,96701,"(21.3890705108643, -157.952728271484)",21.38907051,-157.9527283,Hawaiian Standard Time,-600,GMT-10:00 Pacific/Honolulu,12/8/2013 22:41
14625,Stadium Marketplace,Starbucks,21053-99755,808-488-9313,CO,4561 Salt Lake Boulevard,4561 Salt Lake Boulevard,,,Aiea,HI,AieaHI,US,968183167,96818,"(21.3663902282715, -157.930557250977)",21.36639023,-157.9305573,Hawaiian Standard Time,-600,GMT-10:00 Pacific/Honolulu,12/8/2013 22:41
15324,Pearlridge Mall Uptown,Starbucks,21005-10034,808-484-9355,CO,98-1005 Moanalua Road,98-1005 Moanalua Road,,,Aiea,HI,AieaHI,US,967014705,96701,"(21.3852596282959, -157.941665649414)",21.38525963,-157.9416656,Hawaiian Standard Time,-600,GMT-10:00 Pacific/Honolulu,12/8/2013 22:41
15325,Pearlridge - Kam Hwy & Kaonohi St,Starbucks,21006-10033,808-484-9548,CO,98-125 Kaonohi Street,98-125 Kaonohi Street,,,Aiea,HI,AieaHI,US,967012318,96701,"(21.383659362793, -157.944915771484)",21.38365936,-157.9449158,Hawaiian Standard Time,-600,GMT-10:00 Pacific/Honolulu,12/8/2013 22:41
15337,Aiea Shopping Center,Starbucks,21034-73360,808-484-1488,CO,99-115 Aiea Heights Drive #125,99-115 Aiea Heights Drive #125,,,Aiea,HI,AieaHI,US,967013913,96701,"(21.3783359527588, -157.930252075195)",21.37833595,-157.9302521,Hawaiian Standard Time,-600,GMT-10:00 Pacific/Honolulu,12/8/2013 22:41
1007245,University of South Carolina Aiken,Starbucks,21271-210268,,LS,471 University Pkwy,471 University Pkwy,,,Aiken,SC,AikenSC,US,29801,29801,"(33.5724906921387, -81.7691802978516)",33.57249069,-81.7691803,Eastern Standard Time,-240,GMT-05:00 America/New_York,2/13/2014 5:00
9779,Kroger-Aiken #675,Starbucks,79216-97112,803-642-5280,LS,1795 Whiskey Rd,1795 Whiskey Rd,,,Aiken,SC,AikenSC,US,298037337,29803,"(33.5256767272949, -81.7211685180664)",33.52567673,-81.72116852,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
1012868,Teavana - Summit Mall,Teavana,28672-250146,330-835-4803,CO,"3264 W. Market St., #228A, Summit Mall",3264 W. Market St.,#228A,Summit Mall,Akron,OH,AkronOH,US,44333,44333,"(41.1341285705566, -81.6178436279297)",41.13412857,-81.61784363,Eastern Standard Time,-240,GMT-05:00 America/New_York,7/11/2015 4:00
6536,Target Green (Akron) T-2346,Starbucks,76844-111569,330-645-8252,LS,762 Arlington Rdg,762 Arlington Rdg,,,Akron,OH,AkronOH,US,443125216,44312,"(40.984001159668, -81.4932174682617)",40.98400116,-81.49321747,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
8054,"Akron, South Arlington Rd",Starbucks,9961-98933,330-245-0385,CO,2884 South Arlington Road,2884 South Arlington Road,,,Akron,OH,AkronOH,US,443124716,44312,"(40.9928550720215, -81.4926528930664)",40.99285507,-81.49265289,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
8933,U of Akron - Student Union,Starbucks,75223-92998,330-972-7111,LS,"303 Carroll St, U of Akron Student Union",303 Carroll St,,U of Akron Student Union,Akron,OH,AkronOH,US,443250016,44325,"(41.0757026672363, -81.5125732421875)",41.07570267,-81.51257324,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
10333,"University of Akron, Polsky Buildin",Starbucks,75387-100161,330-972-2113,LS,225 South Main Street,225 South Main Street,,,Akron,OH,AkronOH,US,443250035,44325,"(41.0788612365723, -81.5192642211914)",41.07886124,-81.51926422,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
11737,Fairlawn,Starbucks,2301-1390,(330) 670-9190,CO,3763 West Market Street,3763 West Market Street,,,Akron,OH,AkronOH,US,443332440,44333,"(41.1363830566406, -81.6361770629883)",41.13638306,-81.63617706,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
11833,Chapel Hill Mall,Starbucks,2563-26107,330-633-1560,CO,"2000 Brittian Rd., K-13, Chapel Hill Mall",2000 Brittian Rd.,K-13,Chapel Hill Mall,Akron,OH,AkronOH,US,443101804,44310,"(41.1160583496094, -81.4660491943359)",41.11605835,-81.46604919,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
12807,"Akron, West Market Street",Starbucks,2736-88300,330-869-4909,CO,2279 West Market Street,2279 West Market Street,,,Akron,OH,AkronOH,US,443136926,44313,"(41.1181030273438, -81.5881729125977)",41.11810303,-81.58817291,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
19102,"University of Akron, Exchange Stree",Starbucks,7109-146946,330-972-2280,LS,170 E Exchange St,170 E Exchange St,,,Akron,OH,AkronOH,US,443041720,44304,"(41.0741844177246, -81.5165100097656)",41.07418442,-81.51651001,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
19440,Summit Mall,Starbucks,15194-158106,330-869-6397,CO,3265 West Market Street,3265 West Market Street,,,Akron,OH,AkronOH,US,443333337,44333,"(41.1327095031738, -81.6185607910156)",41.1327095,-81.61856079,Eastern Standard Time,-240,GMT-05:00 America/New_York,12/8/2013 22:41
7538,I-65 & US HWY 31,Starbucks,13210-95453,205-664-3797,CO,345 South Colonial Dr,345 South Colonial Dr,,,Alabaster,AL,AlabasterAL,US,350074690,35007,"(33.2238883972168, -86.8022232055664)",33.2238884,-86.80222321,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
8602,Hwy 119 & Kent Dairy,Starbucks,10796-102254,205-685-9705,CO,2171 Kent Dairy Rd,2171 Kent Dairy Rd,,,Alabaster,AL,AlabasterAL,US,350075387,35007,"(33.2149276733398, -86.8260116577148)",33.21492767,-86.82601166,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
12594,Target Alabaster T-2276,Starbucks,76795-96265,205-564-2608,LS,250 S Colonial Dr,250 S Colonial Dr,,,Alabaster,AL,AlabasterAL,US,350074657,35007,"(33.2280006408691, -86.8139038085938)",33.22800064,-86.81390381,Central Standard Time,-300,GMT-06:00 America/Chicago,12/8/2013 22:41
1006018,Target Alameda T-2829,Starbucks,19859-196187,510-241-0931,LS,2700 Fifth St,2700 Fifth St,,,Alameda,CA,AlamedaCA,US,94501,94501,"(37.7799034118652, -122.282180786133)",37.77990341,-122.2821808,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
1008910,Safeway - Alameda 3281,Starbucks,23463-230284,510-523-1804,LS,501 Willie Stargell,501 Willie Stargell,,,Alameda,CA,AlamedaCA,US,94501,94501,"(37.7685356140137, -122.266067504883)",37.76853561,-122.2660675,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,1/21/2015 5:00
13329,Alameda Towne Center,Starbucks,5335-904,(510) 749-9595,CO,2210-J South Shore Drive,2210-J South Shore Drive,,,Alameda,CA,AlamedaCA,US,945015761,94501,"(37.7569541931152, -122.252899169922)",37.75695419,-122.2528992,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
14590,Safeway - Alameda #2708,Starbucks,74877-100291,510-863-9000,LS,2227 South Shore Center,2227 South Shore Center,,,Alameda,CA,AlamedaCA,US,945018029,94501,"(37.7569313049316, -122.252899169922)",37.7569313,-122.2528992,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
16288,Webster & Atlantic - Alameda,Starbucks,5535-728,510-337-1580,CO,720 Atlantic Avenue,720 Atlantic Avenue,,,Alameda,CA,AlamedaCA,US,945012176,94501,"(37.7795867919922, -122.275665283203)",37.77958679,-122.2756653,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
17592,Park & Central Alameda,Starbucks,6479-62999,510-521-5815,CO,1364 Park Street,1364 Park Street,,,Alameda,CA,AlamedaCA,US,945014542,94501,"(37.7639770507813, -122.242713928223)",37.76397705,-122.2427139,Pacific Standard Time,-420,GMT-08:00 America/Los_Angeles,12/8/2013 22:41
